不具合内容,不具合詳細,深刻度,確認ﾊﾞｰｼﾞｮﾝ,確認日,確認理由,確認端末,修正予定ﾊﾞｰｼﾞｮﾝ,備考/修正情報,修正済み
404ｴﾗｰﾍﾟｰｼﾞが正常に表示されない,404ｴﾗｰﾍﾟｰｼﾞが表示されたとき、一部のﾓﾊﾞｲﾙﾌﾞﾗｳｻﾞで初回読み込み時に上下中央で表示されない,1,1.0.0まで,2024/8/8,通常処理,Android/Edge,1.0.0,現在、確認されているﾌﾞﾗｳｻﾞの複数ﾊﾞｰｼﾞｮﾝで検査しましたが、原因究明には至っておりません。今しばらくお待ちください,1
ﾛｸﾞｲﾝ画面のｺﾝﾃﾝﾂの挙動問題,ﾛｸﾞｲﾝ画面でﾓﾊﾞｲﾙﾀｯﾁｷｰﾎﾞｰﾄﾞを使用すると、ﾛｺﾞとﾛｸﾞｲﾝﾎﾞﾀﾝが移動し、ﾀｯﾁｷｰﾎﾞｰﾄﾞを閉じると画面をﾀｯﾌﾟするまで表示されない,2,1.0.0まで,2024/8/8,通常処理,Android/Edge,1.0.0,現在、確認されているﾌﾞﾗｳｻﾞの複数ﾊﾞｰｼﾞｮﾝで検査しましたが、原因究明には至っておりません。今しばらくお待ちください,1
iOSの端末識別処理が正常に行われない可能性,お問い合わせページのOS識別処理をする際、iOSがmacと処理される可能性がある,2,1.0.0まで,2024/8/8,ｴﾐｭﾚｰﾀｰ,Windows/Blisk,1.0.0,Ver:0.6.532にてﾕｰｻﾞｰｴｰｼﾞｪﾝﾄ優先順序を変更し、正常に表示されるように修正をしました,0
ﾆｭｰｽを閉じる際にちらつく不具合,ﾆｭｰｽ画面のﾎﾟｯﾌﾟｱｯﾌﾟを閉じるとき、ﾊﾞﾂﾏｰｸを長押ししたり、短い間隔でﾀｯﾁするとちらつくことがある,1,1.0.0まで,2024/8/8,通常処理,Windows/Edge,1.0.0,ｺｰﾄﾞの書き換え修正を予定しております。今しばらくお待ちください,1
画面拡大禁止設定が作動しない不具合,画面で操作できる端末（ｽﾏｰﾄﾌｫﾝ/ﾀﾌﾞﾚｯﾄ等）では画面拡大ができてしまう不具合,1,1.0.0まで,2024/8/8,通常処理,Android/Chrome,1.0.0,Ver:0.6.539にてHTMLに新ﾀｸﾞを追加することによって修正をしました,0
一部ﾍﾟｰｼﾞでﾌｧﾋﾞｺﾝが変わらない問題,一部のﾍﾟｰｼﾞ（CSS、JavaScript、PDF、Text、Markdown等）でﾌｧﾋﾞｺﾝが設定されていない不具合,1,1.0.0まで,2024/8/8,通常処理,Windows/Edge,1.0.0,新たなJavaScriptの設置を予定しております,1
ﾛｸﾞｲﾝ画面が一部表示されない不具合,一部のｳｪﾌﾞﾌﾞﾗｳｻﾞで、SVGﾌｧｲﾙの一部が透過される不具合,1,1.0.0まで,2024/8/9,通常処理,Android/Firefox,1.0.0,Ver:0.6.534にて画像形式をSVGからWEBPに変更し、透過問題を回避しました,0
お問い合わせﾍﾟｰｼﾞで、一部のﾌﾞﾗｳｻﾞが検出されない不具合,Operaﾌﾞﾗｳｻﾞが自動検出されない不具合,1,1.0.0まで,2024/8/9,通常処理,Windows/Opera<br>Android/Opera,1.0.0,Ver:0.6.532にてOperaの検出ができるように修正をしました。引き続き、多くのｳｪﾌﾞﾌﾞﾗｳｻﾞが検出できるよう、ﾏｲﾅｰなｳｪﾌﾞﾌﾞﾗｳｻﾞを追加してまいります,0
一部ﾓﾊﾞｲﾙﾌﾞﾗｳｻﾞで、ﾗﾝﾁｬｰが消える不具合,一部のﾓﾊﾞｲﾙﾌﾞﾗｳｻﾞで、ﾀｯﾁｷｰﾎﾞｰﾄﾞを使用すると、次回画面をﾀｯﾌﾟするまでﾗﾝﾁｬｰが非表示になる不具合,2,1.0.0まで,2024/8/11,通常処理,Android/Edge<br>Android/Firefox,1.0.0,現在、確認されているﾌﾞﾗｳｻﾞの複数ﾊﾞｰｼﾞｮﾝで検査しましたが、原因究明には至っておりません。今しばらくお待ちください,1
一部ﾌﾞﾗｳｻﾞで、端末ﾊﾞｯﾃﾘｰ残量を正常に返さない不具合,Braveﾌﾞﾗｳｻﾞで、端末ﾊﾞｯﾃﾘｰ残量どのような状態であっても100%［充電中］になってしまう不具合,2,1.0.0まで,2024/8/13,通常処理,Windows/Brave<br>Android/Brave,未定,Braveﾌﾞﾗｳｻﾞがﾊﾞｯﾃﾘｰ残量を検出できるﾕｰｻﾞｰｴｰｼﾞｪﾝﾄを組み込んでいるかを確認しております。今しばらくお待ちください,1
